# input	expected
a	a
ta	ta
al	à
tal	tà
az	ả
taz	tả
as	ã
tas	tã
aj	á
taj	tá
ar	ạ
tar	tạ
oa	oa
toa	toa
oal	òa
toal	tòa
oaz	ỏa
toaz	tỏa
oas	õa
toas	tõa
oaj	óa
toaj	tóa
oar	ọa
toar	tọa
osj	oác
tosj	toác
osr	oạc
tosr	toạc
oakj	oách
toakj	toách
oakr	oạch
toakr	toạch
ojp	oai
tojp	toai
ojl	oài
tojl	toài
ojz	oải
tojz	toải
ojs	oãi
tojs	toãi
ojj	oái
tojj	toái
ojr	oại
tojr	toại
owp	oao
towp	toao
owl	oào
towl	toào
owz	oảo
towz	toảo
ows	oão
tows	toão
owj	oáo
towj	toáo
owr	oạo
towr	toạo
ofj	oáp
tofj	toáp
ofr	oạp
tofr	toạp
odj	oát
todj	toát
odr	oạt
todr	toạt
adx	oắt
tadx	toắt
adh	oặt
tadh	toặt
asx	oắc
tasx	toắc
ash	oặc
tash	toặc
alo	oăn
talo	toăn
alk	oằn
talk	toằn
alv	oẳn
talv	toẳn
alw	oẵn
talw	toẵn
alx	oắn
talx	toắn
alh	oặn
talh	toặn
avo	oăm
tavo	toăm
avk	oằm
tavk	toằm
avv	oẳm
tavv	toẳm
avw	oẵm
tavw	toẵm
avx	oắm
tavx	toắm
avh	oặm
tavh	toặm
azo	oăng
tazo	toăng
azk	oằng
tazk	toằng
azv	oẳng
tazv	toẳng
azw	oẵng
tazw	toẵng
azx	oắng
tazx	toắng
azh	oặng
tazh	toặng
ajp	oay
tajp	toay
ajl	oày
tajl	toày
ajz	oảy
tajz	toảy
ajs	oãy
tajs	toãy
ajj	oáy
tajj	toáy
ajr	oạy
tajr	toạy
ac	ác
tac	tác
acr	ạc
tacr	tạc
akj	ách
takj	tách
akr	ạch
takr	tạch
ai	ai
tai	tai
ail	ài
tail	tài
aiz	ải
taiz	tải
ais	ãi
tais	tãi
aij	ái
taij	tái
air	ại
tair	tại
am	am
tam	tam
aml	àm
taml	tàm
amz	ảm
tamz	tảm
ams	ãm
tams	tãm
amj	ám
tamj	tám
amr	ạm
tamr	tạm
an	an
tan	tan
anl	àn
tanl	tàn
anz	ản
tanz	tản
ans	ãn
tans	tãn
anj	án
tanj	tán
anr	ạn
tanr	tạn
olp	oan
tolp	toan
oll	oàn
toll	toàn
olz	oản
tolz	toản
ols	oãn
tols	toãn
olj	oán
tolj	toán
olr	oạn
tolr	toạn
oahp	oanh
toahp	toanh
oahl	oành
toahl	toành
oahz	oảnh
toahz	toảnh
oahs	oãnh
toahs	toãnh
oahj	oánh
toahj	toánh
